id,Y,F10,F15,F19,F2,F20,F21,F22,F23,F24,F27,F4,F5
1,0,0,1,22902.0,0,1,0,18,0.042295124,1,0.028249574,0,0.0
2,0,1,1,11400.0,0,1,0,8,0.021416986,1,0.253574248,0,0.0
3,0,1,1,4833.0,0,1,0,13,0.502211985,1,0.373396773,0,3.0
4,0,2,1,3250.0,0,1,1,8,0.0,1,0.674254076,0,2.0
5,0,1,1,4000.0,0,1,1,5,0.787591837,1,0.371157211,0,0.0
6,0,2,1,9915.0,0,1,3,9,0.236216752,1,0.476300928,0,2.0
7,0,3,1,10416.0,0,2,3,5,0.0,2,0.312949986,0,3.0
8,0,0,1,6200.0,0,1,0,1,0.9999999,1,0.024189647,0,2.0
9,0,0,1,3000.0,0,1,0,6,0.122726413,1,0.163278907,0,1.0
10,0,1,1,6639.66596413339,0,1,0,17,1.28374608,1,7922.0,0,5.0
11,0,2,1,4833.0,0,1,0,11,0.062973692,1,0.616466694,0,1.0
12,0,0,1,8666.0,0,1,0,7,0.00378197,1,0.031844929,0,1.0
13,0,0,1,3500.0,0,1,0,3,0.03779622,1,0.151670951,0,0.0
14,1,0,1,1600.0,1,1,0,5,0.9999999,1,0.202373517,0,0.0
15,0,1,1,5100.0,0,1,0,6,0.051388318,1,0.345618506,0,0.0
16,0,2,1,8916.0,0,1,7,8,0.393429605,1,0.242906807,0,2.0
17,0,0,1,7520.0,0,1,0,4,0.383545267,1,0.013960909,0,3.0
18,0,0,1,626.0,0,1,1,10,0.105818306,1,1.668261563,0,1.0
19,1,1,1,4000.0,0,1,0,14,0.441679749,1,0.56135966,0,3.0
20,0,2,3,2500.0,0,1,0,7,0.0,1,0.551779288,0,0.0
21,0,1,1,7000.0,0,1,0,5,0.066644452,1,0.315812027,0,2.0
22,0,1,1,75000.0,0,1,2,6,0.102280735,1,0.032106239,0,3.0
23,0,2,1,7427.0,0,1,0,11,0.261370606,1,0.687802908,0,3.0
24,0,1,1,10600.0,1,1,5,9,0.990646442,1,0.231864918,0,1.0
25,0,0,1,2648.0,0,1,0,5,0.520418652,1,0.232918082,0,3.0
26,0,1,1,10083.0,0,1,1,3,0.265985223,1,0.170567235,0,1.0
27,0,2,1,7888.0,0,1,0,22,0.035983238,1,0.1306883,0,0.0
28,0,3,1,0.0,0,1,0,16,0.026228073,1,12018.0,0,0.0
29,0,0,1,3800.0,0,1,0,7,0.026098695,1,0.009997369,0,0.0
30,0,0,1,550.0,0,1,0,1,0.9999999,1,1.136116152,1,0.0
31,0,1,1,6639.66596413339,0,1,0,7,0.816701574,1,1832.0,0,0.7580948273206198
32,0,1,2,5835.0,0,1,1,8,0.054813749,1,0.110520905,0,0.0
33,0,4,2,6639.66596413339,0,1,0,25,0.891566732,1,12169.0,0,0.0
34,0,1,1,5500.0,0,1,0,17,0.299654882,1,0.502635884,0,0.0
35,0,2,1,6639.66596413339,0,1,0,5,0.052303669,1,3833.0,0,1.0
36,1,1,1,6233.0,0,1,32,8,0.601297037,1,0.312319538,0,2.0
37,0,0,1,10000.0,0,1,0,10,0.115120413,1,0.02569743,0,0.0
38,1,4,1,5016.0,0,1,0,11,0.014570388,1,1.336655372,0,2.0
39,0,1,1,10666.0,0,1,1,6,0.031970291,1,0.11680885,0,0.0
40,0,0,1,2080.0,0,1,0,7,1.023294509,1,0.249399327,0,0.0
41,0,0,1,5000.0,0,1,19,5,0.104844592,1,0.026394721,0,0.0
42,0,1,1,6639.66596413339,0,1,0,4,0.181984835,1,622.0,0,0.0
43,0,0,1,4800.0,0,1,0,4,0.016518341,1,0.003124349,0,0.0
44,0,1,1,5175.0,0,1,0,13,0.097043168,1,0.208075734,0,0.0
45,0,2,1,13000.0,0,1,0,12,0.0,1,0.494346589,0,3.0
46,0,0,1,9208.0,0,1,12,10,0.11105397,1,0.075578239,0,0.0
47,0,2,1,9416.0,0,1,0,11,0.433947158,1,0.332696188,0,1.0
48,0,3,1,6908.0,0,1,1,10,0.694456596,1,0.523375308,0,1.0
49,0,1,1,6400.0,0,1,0,8,0.057464758,1,0.355256991,0,0.0
50,0,1,1,6900.0,0,1,1,21,7.96e-05,1,0.256339661,0,0.0
51,0,0,1,2525.0,0,1,0,8,0.021020397,1,0.013064133,0,0.0
52,0,1,1,4250.0,0,1,0,18,0.090370235,1,0.196189132,0,1.0
53,0,0,1,6639.66596413339,0,1,0,1,0.9999999,1,474.0,0,0.0
54,0,1,1,4222.0,0,1,0,11,0.076771228,1,0.463651433,0,1.0
55,0,0,1,6639.66596413339,0,1,0,3,1.050949051,1,175.0,0,0.0
56,0,0,2,3000.0,0,1,3,1,0.016662964,1,0.000666445,0,0.0
57,0,3,2,5500.0,0,1,0,17,0.530889029,1,0.348663879,0,1.0
58,0,2,1,8208.0,0,1,0,22,0.431904058,1,0.41905226,0,0.0
59,0,1,1,1916.0,0,1,0,7,0.158285071,1,0.595722483,0,1.0
60,0,2,2,4688.0,0,3,11,10,0.613419329,1,1.043079548,0,0.0
61,0,0,2,13566.0,0,1,1205,7,0.940662728,1,0.154713643,0,2.0
62,0,0,1,0.0,0,1,1,3,0.024091426,1,29.0,0,0.0
63,0,0,1,6639.66596413339,0,1,0,10,0.822862204,1,1611.0,0,0.0
64,0,0,1,3461.0,0,1,1,3,0.438770478,1,0.190930098,0,0.0
65,0,1,1,6639.66596413339,0,1,0,11,0.237257728,1,2660.0,0,1.0
66,0,2,1,2500.0,0,2,0,5,0.230197843,1,0.322670932,0,1.0
67,0,0,1,2000.0,0,1,0,6,0.9999999,1,0.234382809,0,0.0
68,0,1,1,3333.0,0,1,2,8,0.410429967,1,0.590881824,0,0.0
69,0,5,1,9936.0,0,1,0,9,0.000933292,1,0.759585388,0,3.0
70,1,0,1,1400.0,3,1,0,8,1.074985003,1,0.711634547,0,0.0
71,0,2,1,8108.0,0,2,0,14,0.849295184,1,0.437908497,0,0.0
72,0,1,1,3000.0,0,1,0,7,0.059013046,1,1.263578807,0,0.0
73,0,2,1,12500.0,0,1,0,6,0.300439309,1,0.181985441,0,0.0
74,0,4,1,6250.0,0,1,0,11,0.102943922,1,0.957926732,0,1.0
75,0,1,1,5748.0,0,1,0,8,0.006224589,1,0.253087493,0,0.0
76,0,2,1,1.0,0,1,0,8,0.110021975,1,1418.5,0,2.0
77,0,1,1,8083.0,0,1,0,15,0.514404735,1,0.37394854,0,0.0
78,0,1,1,0.0,0,1,0,5,0.0,1,839.0,0,0.0
79,0,1,1,4525.0,0,1,1,19,0.142600412,1,0.405214317,0,2.0
80,0,0,1,6639.66596413339,0,1,2,23,0.919774967,1,2305.0,0,0.0
81,0,2,2,2500.0,0,1,1,9,0.255638887,1,1.161535386,0,0.0
82,0,1,1,3300.0,0,1,0,5,0.01456159,1,0.214783399,0,0.0
83,0,2,1,6200.0,0,1,3,10,0.094930818,1,0.155781326,0,0.0
84,0,0,1,2600.0,0,1,4,1,0.0,1,0.0,2,0.0
85,0,1,1,6639.66596413339,0,1,0,3,0.9999999,1,3064.0,0,0.7580948273206198
86,0,0,1,6639.66596413339,0,1,20,7,0.011816664,1,24.0,0,1.0
87,1,0,1,6639.66596413339,0,1,0,2,1.005988024,1,158.0,0,0.0
88,0,2,1,6639.66596413339,1,1,0,11,0.02994012,1,1550.0,0,0.0
89,0,0,1,7000.0,0,1,0,9,0.0,1,0.008998714,0,0.0
90,0,1,1,6639.66596413339,0,1,0,8,0.191196481,1,2122.0,0,1.0
91,0,1,1,2500.0,0,1,0,14,0.345966111,1,0.720511795,0,1.0
92,0,1,1,6639.66596413339,0,1,1,9,0.046917949,1,1384.0,0,0.0
93,0,1,1,3500.0,0,1,0,9,0.123599748,1,0.337332191,0,0.0
94,0,0,1,12500.0,0,1,0,3,0.0,1,0.0,0,0.0
95,0,2,1,5416.0,0,1,3,19,0.311038789,1,0.641314381,0,1.0
96,0,2,1,4377.0,0,1,0,6,0.871661437,1,0.535861124,0,1.0
97,0,0,1,6639.66596413339,0,1,0,5,0.130703508,1,185.0,0,0.7580948273206198
98,0,1,1,6968.0,0,1,0,6,0.093036672,1,0.223561487,0,0.0
99,0,1,1,7000.0,0,1,0,3,0.001922929,1,0.108698757,0,1.0
100,0,1,1,3750.0,0,1,1,16,0.077598758,1,0.29458811,0,1.0
101,0,1,1,3500.0,0,1,1,9,0.246173842,1,0.490716938,0,0.0
102,0,2,1,9000.0,0,1,1,16,0.121897527,1,0.212309743,0,0.0
103,1,1,1,4756.0,0,1,4,9,0.315473699,1,0.355265924,0,2.0
104,0,0,1,6318.0,0,1,2,6,0.360955158,1,0.276309543,0,0.0
105,0,1,1,4300.0,0,1,0,10,0.059006303,1,0.260172053,0,0.0
106,0,1,1,6498.0,0,1,0,13,0.175450046,1,0.552238806,0,0.0
107,0,1,1,7500.0,0,1,0,3,0.096829477,1,0.19957339,0,5.0
108,0,1,1,7000.0,0,1,5,6,0.061509663,1,0.428081703,0,0.0
109,0,0,1,5500.0,0,1,0,16,0.019912955,1,0.113433921,0,0.0
110,0,0,1,4026.0,0,1,0,7,0.263765962,1,0.035510305,0,1.0
111,0,1,1,9855.0,0,1,0,17,0.885454854,1,0.594054383,0,0.0
112,0,0,1,6639.66596413339,0,1,0,2,0.020685807,1,124.0,0,0.0
113,0,2,1,9314.0,0,1,3,17,0.558118849,1,0.513794954,0,0.0
114,0,2,1,5583.0,0,1,1,10,0.931596186,1,0.678904011,0,0.0
115,0,1,1,6639.66596413339,0,1,2,9,0.02714252,1,1009.0,1,0.0
116,0,2,1,3500.0,0,1,4,8,0.030161713,1,0.421879463,0,0.0
117,0,0,1,6500.0,0,1,1,6,0.095747008,3,0.117674204,0,4.0
118,0,1,1,6639.66596413339,0,1,1,6,0.063098738,1,2919.0,0,0.0
119,0,1,1,4940.0,0,1,1,13,0.251357113,1,0.448896984,0,2.0
120,0,0,1,6639.66596413339,0,1,0,4,0.039447005,1,462.0,0,0.0
121,0,0,1,2083.0,0,1,1,10,0.000973994,1,0.0,0,0.0
122,0,2,1,12500.0,0,1,2,7,0.06148754,1,0.393968483,0,0.0
123,0,1,1,6639.66596413339,0,1,1,4,0.288600386,2,1022.0,0,0.0
124,0,1,1,3500.0,0,1,0,8,0.428739282,1,0.636389603,0,1.0
125,0,0,1,8900.0,0,1,1,10,0.245708778,1,0.074036625,0,3.0
126,0,3,1,7000.0,0,1,2,10,0.746914006,1,0.831309813,0,0.0
127,0,0,2,8000.0,0,2,0,12,0.27552966,2,0.118235221,0,0.0
128,0,0,2,5000.0,0,1,0,8,0.878866896,1,0.147170566,0,5.0
129,0,2,1,9600.0,0,1,1,15,0.080778217,1,0.510051036,0,3.0
130,0,2,1,11833.0,0,1,0,7,0.082091045,1,0.232550279,0,1.0
131,0,1,1,6639.66596413339,0,1,0,21,0.084621866,1,2926.0,0,0.7580948273206198
132,1,2,1,10687.0,0,1,6,22,0.103185358,1,0.493918413,0,1.0
133,0,1,3,6639.66596413339,0,1,0,9,0.039038438,1,1401.0,0,0.0
134,0,2,1,5000.0,0,1,0,5,0.326975792,1,0.324935013,0,2.0
135,0,0,1,3590.0,0,1,0,4,0.435928204,1,0.164578112,0,1.0
136,0,1,1,5100.0,0,1,0,11,0.009188022,1,0.125857675,0,0.0
137,0,2,1,11800.0,0,1,0,6,0.077528564,1,0.259893229,0,1.0
138,0,0,1,3000.0,3,1,1,5,0.9999999,1,0.406531156,0,1.0
139,0,1,1,3500.0,0,2,0,11,0.020601555,1,0.67237932,0,0.0
140,1,2,1,6639.66596413339,1,1,0,8,0.68647443,1,4653.0,0,0.7580948273206198
141,0,0,1,6639.66596413339,0,1,0,9,0.0,1,15.0,0,0.0
142,0,0,1,6639.66596413339,0,1,0,9,0.848631307,1,1229.0,0,2.0
143,0,2,1,11250.0,0,1,2,22,0.36570355,1,0.405208426,0,1.0
144,0,0,1,3279.0,0,1,2,4,0.260135927,1,0.029878049,0,0.0
145,0,2,1,1900.0,0,1,2,5,0.004845781,1,0.836401894,0,2.0
146,0,3,1,8500.0,0,1,0,15,0.064793409,1,0.322903188,0,1.0
147,0,0,1,6639.66596413339,0,1,0,6,0.3244449,1,189.0,0,0.0
148,0,0,1,5593.0,1,1,0,8,0.869216031,1,0.271004648,0,4.0
149,0,1,1,6639.66596413339,0,3,2,5,0.07003509,1,2822.0,0,0.0
